t01,exxEng01AVG,StressEng01AVG,eyyEng01AVG,0,exxHencky01SOI,StressTrue01AVG,SR0Hencky1AVG,eyyHencky01AVG,t02,exxEng02AVG,StressEng02AVG,eyyEng02AVG,0,exxHencky02SOI,StressTrue02AVG,SR0Hencky2AVG,eyyHencky02AVG,t03,exxEng03AVG,StressEng03AVG,eyyEng03AVG,0,exxHencky03SOI,StressTrue03AVG,SR0Hencky3AVG,eyyHencky03AVG
7.4155,0.00715462276,8.30716667,-0.0029573409,0,7.4155,0.007145721,8.36660131,0.00105477,7.382,0.00728784921,8.56,-0.00311842631,0,7.382,0.00727214701,8.62238399,0.00105608,7.449,0.00727824627,8.44575,-0.00288716349,0,7.449,0.00725114535,8.50722025,0.00102685
7.6169,0.00734158276,8.52370833,-0.0030691809,0,7.6169,0.007331841,8.58628584,0.000602204,7.583,0.00749779921,8.77591667,-0.00319781631,0,7.583,0.00747631701,8.84171673,0.000847234,7.6504,0.00749610627,8.65854167,-0.00303508349,0,7.6504,0.00746803535,8.72344702,0.00105277
7.8182,0.00739772276,8.74029167,-0.0031974309,0,7.8182,0.007388231,8.80494992,0.000602198,7.785,0.00763397921,8.99316667,-0.00329231631,0,7.785,0.00761332701,9.06182031,0.000270498,7.8517,0.00770440627,8.88920833,-0.00313446349,0,7.8517,0.00767508535,8.95769441,0.000573912
8.0195,0.00758488276,8.95279167,-0.0032015509,0,8.0195,0.007574281,9.02069754,0.000718409,7.986,0.00760481921,9.025625,-0.00336510631,0,7.986,0.00758524701,9.09426325,-8.15e-05,8.053,0.00772878627,9.03695833,-0.00310724349,0,8.053,0.00769908535,9.10680305,3.1e-05
8.2208,0.00768954276,9.02945833,-0.0031249809,0,8.2208,0.007677461,9.09889074,0.000233661,8.187,0.00760174921,9.01195833,-0.00326507631,0,8.187,0.00758053701,9.08046498,4.65e-05,8.2543,0.00771661627,9.01945833,-0.00299495349,0,8.2543,0.00768756535,9.08905803,-8.04e-05
8.4222,0.00768093276,9.01416667,-0.0030676109,0,8.4222,0.007668381,9.08340387,-2.4e-05,8.389,0.00762425921,9.001375,-0.00332951631,0,8.389,0.00760398701,9.07000382,6.02e-05,8.4557,0.00769643627,9.00708333,-0.00310226349,0,8.4557,0.00766672535,9.07640578,-9.05e-05
8.6235,0.00767991276,9.00358333,-0.0029878409,0,8.6235,0.007667791,9.07273007,3.24e-05,8.59,0.00762434921,8.99304167,-0.00326100631,0,8.59,0.00760477701,9.06160776,0.000209217,8.657,0.00768098627,8.99741667,-0.00310411349,0,8.657,0.00765112535,9.0665257,1.53e-05
8.8248,0.00769633276,8.99545833,-0.0031567209,0,8.8248,0.007681411,9.06469037,-1.27e-05,8.791,0.00770964921,8.98379167,-0.00322219631,0,8.791,0.00768823701,9.05305355,7.99e-06,8.8583,0.00770270627,8.98783333,-0.00311082349,0,8.8583,0.00767289535,9.05706397,0.000146838
8.9926,0.00767545276,8.98804167,-0.0031229309,0,8.9926,0.007663101,9.05702896,-0.00013524,8.992,0.00763236921,8.97675,-0.00327227631,0,8.992,0.00760798701,9.04526387,-0.00020442,9.0596,0.00773990627,8.98033333,-0.00311828349,0,9.0596,0.00771024535,9.04984027,0.000167134
9.1939,0.00764577276,8.9805,-0.0031165609,0,9.1939,0.007631491,9.04916286,3.49e-05,9.194,0.00762621921,8.96929167,-0.00341206631,0,9.194,0.00760593701,9.03769345,5.84e-05,9.261,0.00777028627,8.97325,-0.00313043349,0,9.261,0.00774020535,9.04297472,3.74e-05
9.3952,0.00769351276,8.973125,-0.0030808409,0,9.3952,0.007677161,9.04215985,0.000177498,9.395,0.00765317921,8.96129167,-0.00330023631,0,9.395,0.00763148701,9.02987404,5.28e-05,9.4623,0.00775693627,8.966875,-0.00305782349,0,9.4623,0.00772531535,9.03643048,-0.000157144
9.5966,0.00771743276,8.96633333,-0.0030693209,0,9.5966,0.007702971,9.03553041,8.17e-05,9.596,0.00764858921,8.9545,-0.00327185631,0,9.596,0.00762721701,9.02298929,-5.31e-05,9.6636,0.00770640627,8.96008333,-0.00312635349,0,9.6636,0.00767693535,9.02913338,-7.39e-05
